"id","title","year","genres","rating","votes","isaction","isadventure","iscomedy","iscrime","isdocumentary","isdrama","ishorror","ismystery","isromance","isthriller"
"tt4890766","Play with Me","2016","[Horror]","2.3","9","false","false","false","false","false","false","true","false","false","false"
"tt5037840","Drunk Parents","2019","[Comedy]","3.9","5883","false","false","true","false","false","false","false","false","false","false"
"tt8970448","Adopt a Highway","2019","[Drama]","6.2","2668","false","false","false","false","false","true","false","false","false","false"
"tt9165332","Chitralahari","2019","[Drama]","7.2","1597","false","false","false","false","false","true","false","false","false","false"
"tt4154756","Avengers: Infinity War","2018","[Action, Adventure, Sci-Fi]","8.4","807376","true","true","false","false","false","false","false","false","false","false"
"tt0119338","Hurricane Streets","1997","[Crime, Drama, Romance]","6.3","1142","false","false","false","true","false","true","false","false","true","false"
"tt0156788","Secret Sins","1995","[Drama]","5.2","86","false","false","false","false","false","true","false","false","false","false"
"tt0204388","Hookers in a Haunted House","1999","[Comedy, Horror]","3.8","63","false","false","true","false","false","false","true","false","false","false"
"tt0283426","The Jungle Book 2","2003","[Adventure, Animation, Family]","5.4","14827","false","true","false","false","false","false","false","false","false","false"
"tt7284202","Trespassers","2018","[Horror, Thriller]","5.0","1687","false","false","false","false","false","false","true","false","false","true"
"tt7297962","The Poet and the Boy","2017","[Drama]","6.2","104","false","false","false","false","false","true","false","false","false","false"
"tt9605894","Nishabdham","2020","[Horror, Mystery, Thriller]","3.8","1840","false","false","false","false","false","false","true","true","false","true"
"tt2350892","Bad Country","2014","[Action, Crime, Drama]","5.8","7955","true","false","false","true","false","true","false","false","false","false"
"tt2366608","Lost River","2014","[Drama, Fantasy, Mystery]","5.7","16931","false","false","false","false","false","true","false","true","false","false"
"tt1951181","The Immigrant","2013","[Drama, Romance]","6.6","29401","false","false","false","false","false","true","false","false","true","false"
"tt4353250","The Last Black Man in San Francisco","2019","[Drama]","7.3","13416","false","false","false","false","false","true","false","false","false","false"
"tt1205428","And They're Off","1982","[Drama, Romance]","5.0","23","false","false","false","false","false","true","false","false","true","false"
"tt6156498","Los Domirriqueños 2","2019","[Comedy, Sport]","5.7","35","false","false","true","false","false","false","false","false","false","false"
"tt6469960","An Imperfect Murder","2017","[Drama]","3.2","243","false","false","false","false","false","true","false","false","false","false"
"tt7297958","A Fish Out of Water","2017","[Drama]","5.9","60","false","false","false","false","false","true","false","false","false","false"
"tt1590193","The Commuter","2018","[Action, Mystery, Thriller]","6.3","100972","true","false","false","false","false","false","false","true","false","true"
"tt5882982","Memoirs of a Murderer","2017","[Drama, Mystery, Thriller]","6.8","1631","false","false","false","false","false","true","false","true","false","true"
"tt5968394","Captive State","2019","[Action, Horror, Sci-Fi]","6.0","46616","true","false","false","false","false","false","true","false","false","false"
"tt6069162","Here and Now","2018","[Drama, Music, Romance]","4.4","1195","false","false","false","false","false","true","false","false","true","false"
"tt3228450","The Curse of All Hallows' Eve","2017","[Horror]","5.2","10","false","false","false","false","false","false","true","false","false","false"
"tt4504044","The Prodigy","2019","[Horror, Mystery, Thriller]","5.8","22474","false","false","false","false","false","false","true","true","false","true"
"tt4642192","The Keeper","2018","[Biography, Drama, Romance]","7.2","3096","false","false","false","false","false","true","false","false","true","false"
"tt0332379","School of Rock","2003","[Comedy, Music]","7.1","264342","false","false","true","false","false","false","false","false","false","false"
"tt0172495","Gladiator","2000","[Action, Adventure, Drama]","8.5","1317472","true","true","false","false","false","true","false","false","false","false"
"tt0027904","Scotland Yard Commands","1936","[Action, Crime, Drama]","6.5","44","true","false","false","true","false","true","false","false","false","false"
